2018-02-12 01:35:18,286 [DEBUG] __main__: Iter 35, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,287 [DEBUG] __main__: Iter 36, turn UNI, randomaction: llrn
2018-02-12 01:35:18,287 [DEBUG] __main__: Iter 36, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,287 [DEBUG] __main__: Iter 37, turn UNI, randomaction: rlpn
2018-02-12 01:35:18,287 [DEBUG] __main__: Iter 37, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,288 [DEBUG] __main__: Iter 38, turn UNI, randomaction: rpln
2018-02-12 01:35:18,288 [DEBUG] __main__: Iter 38, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,288 [DEBUG] __main__: Iter 39, turn UNI, randomaction: lprn
2018-02-12 01:35:18,288 [DEBUG] __main__: Iter 39, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,289 [DEBUG] __main__: Iter 40, turn UNI, randomaction: ruln
2018-02-12 01:35:18,289 [DEBUG] __main__: Iter 40, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,289 [DEBUG] __main__: Iter 41, turn UNI, randomaction: dlpn
2018-02-12 01:35:18,289 [DEBUG] __main__: Iter 41, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,290 [DEBUG] __main__: Iter 42, turn UNI, randomaction: lpln
2018-02-12 01:35:18,290 [DEBUG] __main__: Iter 42, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,290 [DEBUG] __main__: Iter 43, turn UNI, randomaction: rlrn
2018-02-12 01:35:18,290 [DEBUG] __main__: Iter 43, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,291 [DEBUG] __main__: Iter 44, turn UNI, randomaction: ldln
2018-02-12 01:35:18,291 [DEBUG] __main__: Iter 44, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,291 [DEBUG] __main__: Iter 45, turn UNI, randomaction: pdln
2018-02-12 01:35:18,291 [DEBUG] __main__: Iter 45, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,292 [DEBUG] __main__: Iter 46, turn UNI, randomaction: dppn
2018-02-12 01:35:18,292 [DEBUG] __main__: Iter 46, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,292 [DEBUG] __main__: Iter 47, turn UNI, randomaction: rppn
2018-02-12 01:35:18,292 [DEBUG] __main__: Iter 47, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,293 [DEBUG] __main__: Iter 48, turn UNI, randomaction: puln
2018-02-12 01:35:18,293 [DEBUG] __main__: Iter 48, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,293 [DEBUG] __main__: Iter 49, turn UNI, randomaction: ldln
2018-02-12 01:35:18,293 [DEBUG] __main__: Iter 49, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,294 [DEBUG] __main__: Iter 50, turn UNI, randomaction: dlln
2018-02-12 01:35:18,294 [DEBUG] __main__: Iter 50, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,294 [DEBUG] __main__: Iter 51, turn UNI, randomaction: lpln
2018-02-12 01:35:18,294 [DEBUG] __main__: Iter 51, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,295 [DEBUG] __main__: Iter 52, turn UNI, randomaction: dupn
2018-02-12 01:35:18,295 [DEBUG] __main__: Iter 52, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,295 [DEBUG] __main__: Iter 53, turn UNI, randomaction: duln
2018-02-12 01:35:18,295 [DEBUG] __main__: Iter 53, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,296 [DEBUG] __main__: Iter 54, turn UNI, randomaction: rdpn
2018-02-12 01:35:18,296 [DEBUG] __main__: Iter 54, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,296 [DEBUG] __main__: Iter 55, turn UNI, randomaction: ruln
2018-02-12 01:35:18,296 [DEBUG] __main__: Iter 55, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,297 [DEBUG] __main__: Iter 56, turn UNI, randomaction: rpln
2018-02-12 01:35:18,297 [DEBUG] __main__: Iter 56, turn AIG, randomaction: nnnp
2018-02-12 01:35:18,297 [DEBUG] __main__: Iter 57, turn UNI, randomaction: rlln
2018-02-12 01:35:18,297 [DEBUG] __main__: Iter 57, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,298 [DEBUG] __main__: Iter 58, turn UNI, randomaction: duln
2018-02-12 01:35:18,298 [DEBUG] __main__: Iter 58, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,298 [DEBUG] __main__: Iter 59, turn UNI, randomaction: ddln
2018-02-12 01:35:18,298 [DEBUG] __main__: Iter 59, turn AIG, randomaction: nnnl
2018-02-12 01:35:18,298 [DEBUG] __main__: Iter 60, turn UNI, randomaction: rdrn
2018-02-12 01:35:18,299 [DEBUG] __main__: Iter 60, turn AIG, randomaction: nnnr
2018-02-12 01:35:18,299 [DEBUG] __main__: Iter 61, turn UNI, randomaction: puln
2018-02-12 01:35:18,299 [DEBUG] __main__: Iter 61, turn AIG, randomaction: nnnp
