2018-02-12 01:49:04,282 [DEBUG] __main__: Iter 48, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,282 [DEBUG] __main__: Iter 49, turn UNI, randomaction: llrn
2018-02-12 01:49:04,282 [DEBUG] __main__: Iter 49, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,282 [DEBUG] __main__: Iter 50, turn UNI, randomaction: pupn
2018-02-12 01:49:04,282 [DEBUG] __main__: Iter 50, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,283 [DEBUG] __main__: Iter 51, turn UNI, randomaction: drpn
2018-02-12 01:49:04,283 [DEBUG] __main__: Iter 51, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,283 [DEBUG] __main__: Iter 52, turn UNI, randomaction: llpn
2018-02-12 01:49:04,283 [DEBUG] __main__: Iter 52, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,284 [DEBUG] __main__: Iter 53, turn UNI, randomaction: lurn
2018-02-12 01:49:04,284 [DEBUG] __main__: Iter 53, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,284 [DEBUG] __main__: Iter 54, turn UNI, randomaction: dlun
2018-02-12 01:49:04,284 [DEBUG] __main__: Iter 54, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,285 [DEBUG] __main__: Iter 55, turn UNI, randomaction: plrn
2018-02-12 01:49:04,285 [DEBUG] __main__: Iter 55, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,285 [DEBUG] __main__: Iter 56, turn UNI, randomaction: dprn
2018-02-12 01:49:04,285 [DEBUG] __main__: Iter 56, turn AIG, randomaction: nnnu
2018-02-12 01:49:04,286 [DEBUG] __main__: Iter 57, turn UNI, randomaction: lppn
2018-02-12 01:49:04,286 [DEBUG] __main__: Iter 57, turn AIG, randomaction: nnnp
2018-02-12 01:49:04,286 [DEBUG] __main__: Iter 58, turn UNI, randomaction: prrn
2018-02-12 01:49:04,286 [DEBUG] __main__: Iter 58, turn AIG, randomaction: nnnp
