2018-02-12 01:37:50,458 [DEBUG] __main__: Iter 57, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,458 [DEBUG] __main__: Iter 58, turn UNI, randomaction: pldn
2018-02-12 01:37:50,459 [DEBUG] __main__: Iter 58, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,459 [DEBUG] __main__: Iter 59, turn UNI, randomaction: rppn
2018-02-12 01:37:50,459 [DEBUG] __main__: Iter 59, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,459 [DEBUG] __main__: Iter 60, turn UNI, randomaction: pdun
2018-02-12 01:37:50,459 [DEBUG] __main__: Iter 60, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,460 [DEBUG] __main__: Iter 61, turn UNI, randomaction: rldn
2018-02-12 01:37:50,460 [DEBUG] __main__: Iter 61, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,460 [DEBUG] __main__: Iter 62, turn UNI, randomaction: rppn
2018-02-12 01:37:50,460 [DEBUG] __main__: Iter 62, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,461 [DEBUG] __main__: Iter 63, turn UNI, randomaction: plun
2018-02-12 01:37:50,461 [DEBUG] __main__: Iter 63, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,461 [DEBUG] __main__: Iter 64, turn UNI, randomaction: rpun
2018-02-12 01:37:50,461 [DEBUG] __main__: Iter 64, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,462 [DEBUG] __main__: Iter 65, turn UNI, randomaction: rlrn
2018-02-12 01:37:50,462 [DEBUG] __main__: Iter 65, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,462 [DEBUG] __main__: Iter 66, turn UNI, randomaction: pdrn
2018-02-12 01:37:50,462 [DEBUG] __main__: Iter 66, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,463 [DEBUG] __main__: Iter 67, turn UNI, randomaction: rlln
2018-02-12 01:37:50,463 [DEBUG] __main__: Iter 67, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,463 [DEBUG] __main__: Iter 68, turn UNI, randomaction: rlrn
2018-02-12 01:37:50,463 [DEBUG] __main__: Iter 68, turn AIG, randomaction: nnnl
2018-02-12 01:37:50,464 [DEBUG] __main__: Iter 69, turn UNI, randomaction: rdrn
2018-02-12 01:37:50,464 [DEBUG] __main__: Iter 69, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,464 [DEBUG] __main__: Iter 70, turn UNI, randomaction: pdrn
2018-02-12 01:37:50,464 [DEBUG] __main__: Iter 70, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,465 [DEBUG] __main__: Iter 71, turn UNI, randomaction: pdpn
2018-02-12 01:37:50,465 [DEBUG] __main__: Iter 71, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,465 [DEBUG] __main__: Iter 72, turn UNI, randomaction: rlrn
2018-02-12 01:37:50,465 [DEBUG] __main__: Iter 72, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,466 [DEBUG] __main__: Iter 73, turn UNI, randomaction: plun
2018-02-12 01:37:50,466 [DEBUG] __main__: Iter 73, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,466 [DEBUG] __main__: Iter 74, turn UNI, randomaction: rdrn
2018-02-12 01:37:50,466 [DEBUG] __main__: Iter 74, turn AIG, randomaction: nnnl
2018-02-12 01:37:50,467 [DEBUG] __main__: Iter 75, turn UNI, randomaction: rdpn
2018-02-12 01:37:50,467 [DEBUG] __main__: Iter 75, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,467 [DEBUG] __main__: Iter 76, turn UNI, randomaction: rdrn
2018-02-12 01:37:50,467 [DEBUG] __main__: Iter 76, turn AIG, randomaction: nnnl
2018-02-12 01:37:50,468 [DEBUG] __main__: Iter 77, turn UNI, randomaction: ppln
2018-02-12 01:37:50,468 [DEBUG] __main__: Iter 77, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,468 [DEBUG] __main__: Iter 78, turn UNI, randomaction: pdpn
2018-02-12 01:37:50,468 [DEBUG] __main__: Iter 78, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,469 [DEBUG] __main__: Iter 79, turn UNI, randomaction: rpun
2018-02-12 01:37:50,469 [DEBUG] __main__: Iter 79, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,469 [DEBUG] __main__: Iter 80, turn UNI, randomaction: pldn
2018-02-12 01:37:50,469 [DEBUG] __main__: Iter 80, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,470 [DEBUG] __main__: Iter 81, turn UNI, randomaction: pppn
2018-02-12 01:37:50,470 [DEBUG] __main__: Iter 81, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,470 [DEBUG] __main__: Iter 82, turn UNI, randomaction: rprn
2018-02-12 01:37:50,470 [DEBUG] __main__: Iter 82, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,470 [DEBUG] __main__: Iter 83, turn UNI, randomaction: rlpn
2018-02-12 01:37:50,471 [DEBUG] __main__: Iter 83, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,471 [DEBUG] __main__: Iter 84, turn UNI, randomaction: plpn
2018-02-12 01:37:50,471 [DEBUG] __main__: Iter 84, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,471 [DEBUG] __main__: Iter 85, turn UNI, randomaction: rdln
2018-02-12 01:37:50,472 [DEBUG] __main__: Iter 85, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,472 [DEBUG] __main__: Iter 86, turn UNI, randomaction: pddn
2018-02-12 01:37:50,472 [DEBUG] __main__: Iter 86, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,472 [DEBUG] __main__: Iter 87, turn UNI, randomaction: pprn
2018-02-12 01:37:50,473 [DEBUG] __main__: Iter 87, turn AIG, randomaction: nnnl
2018-02-12 01:37:50,473 [DEBUG] __main__: Iter 88, turn UNI, randomaction: rpln
2018-02-12 01:37:50,473 [DEBUG] __main__: Iter 88, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,473 [DEBUG] __main__: Iter 89, turn UNI, randomaction: pldn
2018-02-12 01:37:50,474 [DEBUG] __main__: Iter 89, turn AIG, randomaction: nnnl
2018-02-12 01:37:50,474 [DEBUG] __main__: Iter 90, turn UNI, randomaction: ppun
2018-02-12 01:37:50,474 [DEBUG] __main__: Iter 90, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,474 [DEBUG] __main__: Iter 91, turn UNI, randomaction: rlpn
2018-02-12 01:37:50,475 [DEBUG] __main__: Iter 91, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,475 [DEBUG] __main__: Iter 92, turn UNI, randomaction: rddn
2018-02-12 01:37:50,475 [DEBUG] __main__: Iter 92, turn AIG, randomaction: nnnl
2018-02-12 01:37:50,475 [DEBUG] __main__: Iter 93, turn UNI, randomaction: pppn
2018-02-12 01:37:50,476 [DEBUG] __main__: Iter 93, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,476 [DEBUG] __main__: Iter 94, turn UNI, randomaction: rdun
2018-02-12 01:37:50,476 [DEBUG] __main__: Iter 94, turn AIG, randomaction: nnnl
2018-02-12 01:37:50,476 [DEBUG] __main__: Iter 95, turn UNI, randomaction: pddn
2018-02-12 01:37:50,476 [DEBUG] __main__: Iter 95, turn AIG, randomaction: nnnl
2018-02-12 01:37:50,477 [DEBUG] __main__: Iter 96, turn UNI, randomaction: rlun
2018-02-12 01:37:50,477 [DEBUG] __main__: Iter 96, turn AIG, randomaction: nnnd
2018-02-12 01:37:50,477 [DEBUG] __main__: Iter 97, turn UNI, randomaction: rppn
2018-02-12 01:37:50,477 [DEBUG] __main__: Iter 97, turn AIG, randomaction: nnnu
2018-02-12 01:37:50,478 [DEBUG] __main__: Iter 98, turn UNI, randomaction: pddn
2018-02-12 01:37:50,478 [DEBUG] __main__: Iter 98, turn AIG, randomaction: nnnp
2018-02-12 01:37:50,478 [DEBUG] __main__: Iter 99, turn UNI, randomaction: plln
2018-02-12 01:37:50,478 [DEBUG] __main__: Iter 99, turn AIG, randomaction: nnnr
2018-02-12 01:37:50,478 [DEBUG] __main__: PASS: Test 2 passed. The random action generator works for both turns.
2018-02-12 01:37:50,481 [DEBUG] __main__: PASS: After acting freewill, new state is [11 17 24 26 28 32 33 37 41 43 45 46 47 50 52 55 56 58 61 66 71 73 75 78 84
 85] with reward 0
2018-02-12 01:37:50,481 [DEBUG] root: Random action generated is nnnl
