2018-02-12 01:33:56,015 [DEBUG] __main__: Iter 57, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,016 [DEBUG] __main__: Iter 58, turn UNI, randomaction: pudn
2018-02-12 01:33:56,016 [DEBUG] __main__: Iter 58, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,016 [DEBUG] __main__: Iter 59, turn UNI, randomaction: ppdn
2018-02-12 01:33:56,016 [DEBUG] __main__: Iter 59, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,017 [DEBUG] __main__: Iter 60, turn UNI, randomaction: dprn
2018-02-12 01:33:56,017 [DEBUG] __main__: Iter 60, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,017 [DEBUG] __main__: Iter 61, turn UNI, randomaction: pudn
2018-02-12 01:33:56,017 [DEBUG] __main__: Iter 61, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,018 [DEBUG] __main__: Iter 62, turn UNI, randomaction: rddn
2018-02-12 01:33:56,018 [DEBUG] __main__: Iter 62, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,018 [DEBUG] __main__: Iter 63, turn UNI, randomaction: dudn
2018-02-12 01:33:56,018 [DEBUG] __main__: Iter 63, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,019 [DEBUG] __main__: Iter 64, turn UNI, randomaction: rudn
2018-02-12 01:33:56,019 [DEBUG] __main__: Iter 64, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,019 [DEBUG] __main__: Iter 65, turn UNI, randomaction: durn
2018-02-12 01:33:56,019 [DEBUG] __main__: Iter 65, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,019 [DEBUG] __main__: Iter 66, turn UNI, randomaction: lprn
2018-02-12 01:33:56,020 [DEBUG] __main__: Iter 66, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,020 [DEBUG] __main__: Iter 67, turn UNI, randomaction: lurn
2018-02-12 01:33:56,020 [DEBUG] __main__: Iter 67, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,020 [DEBUG] __main__: Iter 68, turn UNI, randomaction: rddn
2018-02-12 01:33:56,021 [DEBUG] __main__: Iter 68, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,021 [DEBUG] __main__: Iter 69, turn UNI, randomaction: rprn
2018-02-12 01:33:56,021 [DEBUG] __main__: Iter 69, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,021 [DEBUG] __main__: Iter 70, turn UNI, randomaction: pppn
2018-02-12 01:33:56,022 [DEBUG] __main__: Iter 70, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,022 [DEBUG] __main__: Iter 71, turn UNI, randomaction: lurn
2018-02-12 01:33:56,022 [DEBUG] __main__: Iter 71, turn AIG, randomaction: nnnp
2018-02-12 01:33:56,022 [DEBUG] __main__: Iter 72, turn UNI, randomaction: lprn
